Campaign	Ad Group	Headline	Description Line 1	Description Line 2	Display_URL	Destination URL	Ad Status
NEW_SKU_CAMPAIGN	AE2056	Elm Wood Portable Folding Art Easel & Legs & Drawer	Our Price $78 Rrp $150 Cheap Ship	Elm Wood Portable Folding Art Easel & Legs & Drawer	SoldSmart.com.au/Elm_Wood_Portable_Folding_Art_Easel_&_Legs_&_Drawer	http://www.soldsmart.com.au/l3.aspx?goods=AE2056&cam=26	Active
NEW_SKU_CAMPAIGN	AX7324	Red Black Adjustable Height Racing Seat Office Chair	Our Price $133 Rrp $265 Cheap Ship	Red Black Adjustable Height Racing Seat Office Chair	SoldSmart.com.au/Red_Black_Adjustable_Height_Racing_Seat_Office_Chair	http://www.soldsmart.com.au/l3.aspx?goods=AX7324&cam=26	Active
NEW_SKU_CAMPAIGN	AY7513	165cm Iron Bird Cage Hanging Hanger Stand	Our Price $29 Rrp $57 Cheap Ship	165cm Iron Bird Cage Hanging Hanger Stand	SoldSmart.com.au/165cm_Iron_Bird_Cage_Hanging_Hanger_Stand	http://www.soldsmart.com.au/l3.aspx?goods=AY7513&cam=26	Active
NEW_SKU_CAMPAIGN	BB1830	140cm Kids Inflatable Jumping Bouncing Castle	Our Price $74 Rrp $154 Cheap Ship	140cm Kids Inflatable Jumping Bouncing Castle	SoldSmart.com.au/140cm_Kids_Inflatable_Jumping_Bouncing_Castle	http://www.soldsmart.com.au/l3.aspx?goods=BB1830&cam=26	Active
NEW_SKU_CAMPAIGN	BC0105	125cm Curved Abdominal Ab Sit Up Training Bench	Our Price $57 Rrp $113 Cheap Ship	125cm Curved Abdominal Ab Sit Up Training Bench	SoldSmart.com.au/125cm_Curved_Abdominal_Ab_Sit_Up_Training_Bench	http://www.soldsmart.com.au/l3.aspx?goods=BC0105&cam=26	Active
NEW_SKU_CAMPAIGN	BC0290OR	Orange Adjustable Height Reclining Baby High Chair	Our Price $115 Rrp $230 Cheap Ship	Orange Adjustable Height Reclining Baby High Chair	SoldSmart.com.au/Orange_Adjustable_Height_Reclining_Baby_High_Chair	http://www.soldsmart.com.au/l3.aspx?goods=BC0290OR&cam=26	Active
NEW_SKU_CAMPAIGN	BC0290PS	Pink Adjustable Height Reclining Baby High Chair	Our Price $115 Rrp $230 Cheap Ship	Pink Adjustable Height Reclining Baby High Chair	SoldSmart.com.au/Pink_Adjustable_Height_Reclining_Baby_High_Chair	http://www.soldsmart.com.au/l3.aspx?goods=BC0290PS&cam=26	Active
NEW_SKU_CAMPAIGN	BC0290RD	Red Adjustable Height Reclining Baby High Chair	Our Price $115 Rrp $230 Cheap Ship	Red Adjustable Height Reclining Baby High Chair	SoldSmart.com.au/Red_Adjustable_Height_Reclining_Baby_High_Chair	http://www.soldsmart.com.au/l3.aspx?goods=BC0290RD&cam=26	Active
NEW_SKU_CAMPAIGN	BC0290XB	Blue Adjustable Height Reclining Baby High Chair	Our Price $115 Rrp $230 Cheap Ship	Blue Adjustable Height Reclining Baby High Chair	SoldSmart.com.au/Blue_Adjustable_Height_Reclining_Baby_High_Chair	http://www.soldsmart.com.au/l3.aspx?goods=BC0290XB&cam=26	Active
NEW_SKU_CAMPAIGN	BC8400TB	Blue XL 68cm Iron Bird Cage with Tray & Perch	Our Price $42 Rrp $74 Cheap Ship	Blue XL 68cm Iron Bird Cage with Tray & Perch	SoldSmart.com.au/Blue_XL_68cm_Iron_Bird_Cage_with_Tray_&_Perch	http://www.soldsmart.com.au/l3.aspx?goods=BC8400TB&cam=26	Active
NEW_SKU_CAMPAIGN	BC8996	80cm Wooden Adjustable Baby High Chair	Our Price $66 Rrp $132 Cheap Ship	80cm Wooden Adjustable Baby High Chair	SoldSmart.com.au/80cm_Wooden_Adjustable_Baby_High_Chair	http://www.soldsmart.com.au/l3.aspx?goods=BC8996&cam=26	Active
