SKU	ManufacturerPartNum	OnMarket
006GM005	GM005	0
006GM0052	GM0052	1
006GM079	GM079	1
006GM111	GM111	0
006GM219	GM219	0
006GM320	GM320	0
006GM329	GM329	1
006GM344	GM344	1
006GM411	GM411	0
006GW036B	GW036B	0
006GW037A	GW037A	1
006GW0693B	GW0693B	0
006GW0971	GW0971	1
006GW098	GW098	1
006GW190A	GW190A	0
006GW203	GW203	0
006GW231	GW231	0
006GW232	GW232	1
006GW233	GW233	0
006GW350A	GW350A	0
006GW445A	GW445A	0
006GW607	GW607	1
006GW780	GW780	1
006GW807C	GW807C	0
006GW825	GW825	1
006GW857A	GW857A	1
006M005	M005	1
006M0051	M0051	1
006M0052	M0052	1
006M010	M010	1
006M019	M019	1
006M020	M020	1
006M022	M022	1
006M023	M023	1
006M024	M024	1
006M026	M026	1
006M035	M035	1
006M041	M041	1
006M0415	M0415	0
006M050	M050	1
006M0503	M0503	1
006M0523	M0523	1
006M054	M054	1
006M055	M055	1
006M056	M056	0
006M061A	M061A	1
006M063	M063	0
006M070	M070	0
006M070A	M070A	0
006M074	M074	1
006M075	M075	0
006M0751	M0751	1
006M0751A	M0751A	1
006M0755	M0755	0
006M0765	M0765	1
006M0775	M0775	1
006M0781	M0781	0
006M0784	M0784	0
006M0791	M0791	1
006M0792	M0792	1
006M0793	M0793	1
006M080	M080	1
006M081	M081	0
006M082	M082	0
006M083	M083	0
006M084	M084	0
006M100	M100	1
006M101	M101	0
006M110	M110	0
006M111	M111	0
006M111A	M111A	0
006M115	M115	0
006M1175	M1175	1
006M125	M125	1
006M1410	M1410	1
006M1410A	M1410A	1
006M142	M142	1
006M143	M143	0
006M1435	M1435	1
006M145	M145	0
006M152	M152	1
006M160	M160	0
006M163A	M163A	1
006M168	M168	1
006M1681	M1681	1
006M1691	M1691	0
006M1695	M1695	0
006M170	M170	0
006M1701	M1701	1
006M1703	M1703	1
006M182	M182	0
006M1821	M1821	1
006M1822	M1822	1
006M198	M198	1
006M199A	M199A	1
006M206	M206	0
006M210	M210	0
006M215	M215	1
006M2163	M2163	0
006M219	M219	1
006M230	M230	0
006M240	M240	0
006M250	M250	0
006M256	M256	1
006M2566A	M2566A	1
006M257	M257	1
006M257A	M257A	0
006M2682	M2682	0
006M2683	M2683	0
006M2683A	M2683A	1
006M2684	M2684	0
006M2685	M2685	1
006M2686	M2686	1
006M2690	M2690	1
006M271	M271	1
006M282	M282	0
006M285	M285	0
006M287	M287	1
006M2872	M2872	1
006M289	M289	0
006M2891	M2891	1
006M2894A	M2894A	0
006M295	M295	1
006M295A	M295A	1
006M2978	M2978	1
006M3005	M3005	1
006M302	M302	0
006M320	M320	0
006M3216	M3216	0
006M3232	M3232	1
006M3234	M3234	0
006M325	M325	1
006M3265	M3265	1
006M3265A	M3265A	1
006M329	M329	0
006M331	M331	0
006M331A	M331A	0
006M3341	M3341	1
006M3343	M3343	1
006M335	M335	1
006M335A	M335A	1
006M340	M340	1
006M3412	M3412	1
006M3425	M3425	1
006M3427	M3427	1
006M344	M344	1
006M3475	M3475	1
006M3479	M3479	0
006M369	M369	0
006M3692	M3692	0
006M370	M370	0
006M3701	M3701	1
006M3705	M3705	1
006M3706	M3706	1
006M3707	M3707	0
006M380	M380	0
006M380A	M380A	1
006M410	M410	1
006M410B	M410B	1
006M412	M412	0
006M413	M413	0
006M41881	M41881	0
006M41882	M41882	0
006M4211	M4211	0
006M4212	M4212	1
006M4213	M4213	1
006M4215	M4215	1
006M424	M424	0
006M424A	M424A	0
006M425	M425	1
006M425A	M425A	0
006M427	M427	0
006M427A	M427A	1
006M4331	M4331	1
006M4332	M4332	1
006M4430	M4430	0
006M4431	M4431	0
006M477	M477	0
006M4800	M4800	0
006M4802	M4802	1
006M4803	M4803	1
006M4804	M4804	1
006M4804A	M4804A	1
006M481	M481	1
006M482	M482	1
006M4822	M4822	1
006M4823	M4823	1
006M4823A	M4823A	1
006M4824	M4824	1
006M482A	M482A	1
006M483	M483	1
006M4842	M4842	0
006M4882	M4882	0
006M505	M505	1
006M520	M520	1
006M5202	M5202	0
006M5202A	M5202A	0
006W0021	W0021	0
006W004	W004	1
006W005	W005	1
006W006	W006	1
006W006A	W006A	0
006W020	W020	0
006W0201	W0201	0
006W0205	W0205	1
006W02511	W02511	1
006W02512	W02512	1
