SKU	ManufacturerPartNum	OnMarket
0011605WH225X155	1605-WH-225X155	0
001401BEIGE280X190	401-BEIGE-280X190	0
001401BROWN280X190	401-BROWN-280X190	1
001401BROWN320X230	401-BROWN-320x230	0
001401CHOC225X155	401-CHOC-225X155	1
001401CHOC280X190	401-CHOC-280X190	1
001401MIXDBRO165X115	401-MIX-DBRO-165X115	0
001401MIXDBRO225X155	401-MIX-DBRO-225X155	0
001401MIXDBRO280X190	401-MIX-DBRO-280X190	0
001401MIXLTBRO225X15	401-MIX-LTBRO-225X155	0
001401MIXLTBRO280X19	401-MIX-LTBRO-280X190	0
001401MUS230X160	401-MUS-230X160	0
001402NAT165X115	402-NAT-165X115	0
001403BLACK280X190	403-BLACK-280X190	0
001404CREAM280X190	404-CREAM-280X190	0
001405ANT165X115	405-ANT-165X115	0
001405ANT225X155	405-ANT-225X155	0
001405ANT280X190	405-ANT-280X190	0
001405RED165X115	405-RED-165X115	1
001405RED225X155	405-RED-225X155	1
001405RED280X190	405-RED-280X190	1
001501WHITE280X190	501-WHITE-280X190	0
001502WHITE165X115	502-WHITE-165X115	0
001502WHITE225X155	502-WHITE-225X155	0
001502WHITE280X190	502-WHITE-280X190	0
001503BLUE280X190	503-BLUE-280X190	0
001503LATTE225X155	503-LATTE-225X155	0
001503LATTE320X230	503-LATTE-320x230	0
001508PAPRIKA280X190	508-PAPRIKA-280X190	0
001512BEIGE280X190	512-BEIGE-280X190	0
001513BLACK280X190	513-BLACK-280X190	0
001526BRBE165X115	526-BRBE-165X115	0
001526BRBE225X155	526-BRBE-225X155	1
001526BRBE280X190	526-BRBE-280X190	0
001526WHBL225X155	526-WHBL-225X155	0
001526WHBL280X190	526-WHBL-280X190	0
001530BEIGE165X115	530-BEIGE-165X115	0
001530BEIGE225X155	530-BEIGE-225X155	0
001530BEIGE280X190	530-BEIGE-280X190	0
001532BROWN225X155	532-BROWN-225X155	0
001532BROWN280X190	532-BROWN-280X190	0
001532WHITE225X155	532-WHITE-225X155	0
001532WHITE280X190	532-WHITE-280X190	0
001536BEIGE165X115CM	536-BEIGE-165X115CM	0
001536BEIGE225X155CM	536-BEIGE-225X155CM	0
001536BEIGE280X190CM	536-BEIGE-280X190CM	0
001536CHOC165X115	536-CHOC-165X115	1
001536CHOC225X155	536-CHOC-225X155	0
001536CHOC280X190	536-CHOC-280X190	0
001536LATTE165X115	536-LATTE-165X115	0
001536LATTE225X155	536-LATTE-225X155	0
001536LATTE280X190	536-LATTE-280X190	0
001859ANTHRACID230X1	859-ANTHRACID-230X160	0
001859ANTHRACID290X2	859-ANTHRACID-290X200	0
001859BROWN230X160	859-BROWN-230X160	0
001859BROWN290X200	859-BROWN-290X200	1
001859BUR230X160	859-BUR-230X160	0
001859BUR290X200	859-BUR-290X200	0
001859CHOC225X155	859-CHOC-225X155	0
001859CHOC280X190	859-CHOC-280X190	0
001859CHOC320X230	859-CHOC-320x230	0
001871BONE165X115	871-BONE-165X115	1
001871BONE225X155	871-BONE-225X155	0
001871BONE280X190	871-BONE-280X190	1
001871BONE300X80	871-BONE-300X80	1
001871BONE320X230	871-BONE-320X230	1
001871BONE400X80	871-BONE-400X80	1
001871CHAR165X115	871-CHAR-165X115	1
001871CHAR225X155	871-CHAR-225X155	0
001871CHAR280X190	871-CHAR-280X190	0
001871CHAR300X80	871-CHAR-300X80	1
001871CHAR320X230	871-CHAR-320X230	0
001871CHAR400X80	871-CHAR-400X80	0
001871CHOC165X115	871-CHOC-165X115	1
001871CHOC225X155	871-CHOC-225X155	1
001871CHOC280X190	871-CHOC-280X190-	0
001871CHOC300X80	871-CHOC-300X80	1
001871CHOC320X230	871-CHOC-320X230	1
001871CHOC400X80	871-CHOC-400X80	1
001871EGGPLANT165X11	871-EGGPLANT-165X115	1
001871EGGPLANT225X15	871-EGGPLANT-225X155	1
001871EGGPLANT280X19	871-EGGPLANT-280X190	1
001871EGGPLANT300X80	871-EGGPLANT-300X80	1
001871EGGPLANT320X23	871-EGGPLANT-320X230	0
001871EGGPLANT400X80	871-EGGPLANT-400X80	1
001871GREY165X115	871-GREY-165X115	1
001871GREY225X155	871-GREY-225X155	1
001871GREY280X190	871-GREY-280X190	0
001871GREY300X80	871-GREY-300X80	1
001871GREY320X230	871-GREY-320X230	1
001871GREY400X80	871-GREY-400X80	1
001871LATTE165X115	871-LATTE-165X115	1
001871LATTE225X155	871-LATTE-225X155	1
001871LATTE280X190	871-LATTE-280X190	0
001871LATTE300X80	871-LATTE-300X80	1
001871LATTE320X230	871-LATTE-320X230	1
001871LATTE400X80	871-LATTE-400X80	1
001871PETROL165X115	871-PETROL-165X115	1
001871PETROL225X155	871-PETROL-225X155	1
001871PETROL280X190	871-PETROL-280X190	1
001871PETROL300X80	871-PETROL-300X80	1
001871PETROL320X230	871-PETROL-320X230	1
001871PETROL400X80	871-PETROL-400X80	1
001871PIST165X115	871-PIST-165X115	1
001871PIST225X155	871-PIST-225X155	1
001871PIST280X190	871-PIST-280X190	1
001871PIST300X80	871-PIST-300X80	1
001871PIST320X230	871-PIST-320X230	1
001871PIST400X80	871-PIST-400X80	1
001871RED165X115	871-RED-165X115	1
001871RED225X155	871-RED-225X155	1
001871RED280X190	871-RED-280X190	1
001871RED300X80	871-RED-300X80	1
001871RED320X230	871-RED-320X230	1
001871RED400X80	871-RED-400X80	1
001871TAUPE165X115	871-TAUPE-165X115	1
001871TAUPE225X155	871-TAUPE-225X155	1
001871TAUPE280X190	871-TAUPE-280X190	1
001871TAUPE300X80	871-TAUPE-300X80	1
001871TAUPE320X230	871-TAUPE-320X230	1
001871TAUPE400X80	871-TAUPE-400X80	1
001982RED280X190	982-RED-280X190	0
001994MUSH165X155	994-MUSH-165X155	0
001994MUSH225X155	994-MUSH-225X155	0
001994MUSH290X180	994-MUSH-290X180	0
001994TAUPE280X190	994-TAUPE-280X190	1
001994WHITE225X155	994-WHITE-225X155	0
001994WHITE280X190	994-WHITE-280X190	0
001AF111RED290X200	AF-111-RED-290X200	0
