Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
311200104382	SW0412	1	0		34.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW PORTABLE NON WOVEN FABRIC WARDROBE ON CASTERS FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
311200104459	RS0039	1	0		39.0	03-Dec-14	08-Dec-14	Brand New	9	ILLUMINATED CROSSHAIR MILDOT RIFLE SCOPE SOLDSMART FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
361138408373	BC5590XY	1	0		40.0	03-Dec-14	08-Dec-14	Brand New	9	NEW WROUGHT IRON RATTAN 3 LEVEL SHELVING UNIT FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
301422106353	GE0011	1	0		43.0	03-Dec-14	08-Dec-14	Brand New	9	NEW 100CM X 61CM X 41CM FLAT GREEN HOUSE FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
311200104702	XC0002	1	0		46.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW STEEL PORTABLE FOLDABLE BARBECUE BBQ GRILL FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
361138408798	SM0403BK	1	0		46.0	03-Dec-14	08-Dec-14	Brand New	9	NEW MINI SEWING MACHINE 7 PATTERNS 3 STITCH TYPES FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
311200104837	JB001CRBT	1	0		47.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW PORTABLE 3 IN 1 BABY CARRIER COT CHAIR ROCKER FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
361138408894	JH0790	1	0		51.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW FOUR LEVEL WARDROBE SHOE RACK STAND STORAGE FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
361138408934	XV6370	1	0		52.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW 24 INCH 4 NYLON STRING ZEBRA WOOD UKULELE FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
301422106934	LQ0320	1	0		52.0	03-Dec-14	08-Dec-14	Brand New	9	BR NEW IRON PLATE 400w A3 DOCUMENT SEALER LAMINATOR FREE SHIPPING		0		15	08-Dec-14 10:47:45 AEST			1000	FALSE	Chinese	
