Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	2368F1BL	Paused
NEW_SKU_CAMPAIGN	2368F1DBL	Paused
NEW_SKU_CAMPAIGN	2368F1RD	Paused
NEW_SKU_CAMPAIGN	5PLG01BK	Paused
NEW_SKU_CAMPAIGN	5plg01bl	Paused
NEW_SKU_CAMPAIGN	7000BT	Paused
NEW_SKU_CAMPAIGN	A55PSTGD	Paused
NEW_SKU_CAMPAIGN	AAGG292108	Paused
NEW_SKU_CAMPAIGN	AAGG292403	Paused
NEW_SKU_CAMPAIGN	AAGH117010	Paused
NEW_SKU_CAMPAIGN	AAHJ010813	Paused
NEW_SKU_CAMPAIGN	AAHJ010814	Paused
NEW_SKU_CAMPAIGN	AAHJ010818	Paused
NEW_SKU_CAMPAIGN	AB2640	Paused
NEW_SKU_CAMPAIGN	AC0005RDBK	Paused
NEW_SKU_CAMPAIGN	AC0160	Paused
NEW_SKU_CAMPAIGN	AC0333	Paused
NEW_SKU_CAMPAIGN	AD0124SL	Paused
NEW_SKU_CAMPAIGN	AE2055	Active
NEW_SKU_CAMPAIGN	AE2069	Paused
NEW_SKU_CAMPAIGN	AG0064	Active
NEW_SKU_CAMPAIGN	AG0270YL	Paused
NEW_SKU_CAMPAIGN	AH0070BK	Paused
NEW_SKU_CAMPAIGN	AH0070WT	Paused
NEW_SKU_CAMPAIGN	AH0070YL	Paused
NEW_SKU_CAMPAIGN	AH0100BL	Paused
NEW_SKU_CAMPAIGN	AH0100OR	Paused
NEW_SKU_CAMPAIGN	AH0201	Paused
NEW_SKU_CAMPAIGN	AH0224	Active
NEW_SKU_CAMPAIGN	AH0606	Paused
NEW_SKU_CAMPAIGN	AH0624	Paused
NEW_SKU_CAMPAIGN	AR0172	Paused
NEW_SKU_CAMPAIGN	AR0258	Paused
NEW_SKU_CAMPAIGN	AR0292	Paused
NEW_SKU_CAMPAIGN	AR0405	Paused
NEW_SKU_CAMPAIGN	AS2800	Paused
NEW_SKU_CAMPAIGN	AT0030	Paused
NEW_SKU_CAMPAIGN	AT0270	Paused
NEW_SKU_CAMPAIGN	AW0410	Paused
NEW_SKU_CAMPAIGN	AW3000	Active
NEW_SKU_CAMPAIGN	AX4037	Paused
NEW_SKU_CAMPAIGN	AX5010	Paused
NEW_SKU_CAMPAIGN	AX7010	Paused
NEW_SKU_CAMPAIGN	AX7030	Paused
NEW_SKU_CAMPAIGN	AX9010	Paused
NEW_SKU_CAMPAIGN	AX9020	Paused
NEW_SKU_CAMPAIGN	AXA033	Paused
NEW_SKU_CAMPAIGN	AY7573	Paused
NEW_SKU_CAMPAIGN	AZ0004	Active
NEW_SKU_CAMPAIGN	BB0078SM	Active
NEW_SKU_CAMPAIGN	BB0200	Paused
NEW_SKU_CAMPAIGN	BB0200OR	Paused
NEW_SKU_CAMPAIGN	BB0227	Paused
NEW_SKU_CAMPAIGN	BB0227OR	Paused
NEW_SKU_CAMPAIGN	BB0330	Paused
NEW_SKU_CAMPAIGN	BB0330OR	Paused
NEW_SKU_CAMPAIGN	BB0330RD	Paused
NEW_SKU_CAMPAIGN	BB0330TH	Paused
NEW_SKU_CAMPAIGN	BB0535	Paused
NEW_SKU_CAMPAIGN	BB0535BL	Paused
NEW_SKU_CAMPAIGN	BB1025	Paused
NEW_SKU_CAMPAIGN	BB1050	Paused
NEW_SKU_CAMPAIGN	BB1078	Paused
NEW_SKU_CAMPAIGN	BB1520	Paused
NEW_SKU_CAMPAIGN	BB1840	Paused
NEW_SKU_CAMPAIGN	BB2030	Active
NEW_SKU_CAMPAIGN	BB3009	Paused
NEW_SKU_CAMPAIGN	BB3030	Active
NEW_SKU_CAMPAIGN	BB3090	Active
NEW_SKU_CAMPAIGN	BB3900	Paused
NEW_SKU_CAMPAIGN	BB4300	Active
NEW_SKU_CAMPAIGN	BB4400	Active
NEW_SKU_CAMPAIGN	BB6100	Paused
NEW_SKU_CAMPAIGN	BC0002	Paused
NEW_SKU_CAMPAIGN	BC0010	Paused
NEW_SKU_CAMPAIGN	BC0012	Paused
NEW_SKU_CAMPAIGN	BC0173	Paused
NEW_SKU_CAMPAIGN	BC0204	Paused
NEW_SKU_CAMPAIGN	BC0205	Paused
NEW_SKU_CAMPAIGN	BC0206	Paused
NEW_SKU_CAMPAIGN	BC0207	Active
NEW_SKU_CAMPAIGN	BC0290	Paused
NEW_SKU_CAMPAIGN	BC0290PK	Paused
NEW_SKU_CAMPAIGN	BC0291BL	Paused
NEW_SKU_CAMPAIGN	BC0291GR	Paused
NEW_SKU_CAMPAIGN	BC1200	Paused
NEW_SKU_CAMPAIGN	BC1200BK	Paused
NEW_SKU_CAMPAIGN	BC1200RD	Active
NEW_SKU_CAMPAIGN	BC1780BK	Paused
NEW_SKU_CAMPAIGN	BC1780OR	Paused
NEW_SKU_CAMPAIGN	BC1803GD	Paused
NEW_SKU_CAMPAIGN	BC1803LY	Paused
NEW_SKU_CAMPAIGN	BC2007	Paused
NEW_SKU_CAMPAIGN	BC2008	Paused
NEW_SKU_CAMPAIGN	BC2600	Paused
NEW_SKU_CAMPAIGN	BC5001	Paused
NEW_SKU_CAMPAIGN	BC5001BL	Paused
NEW_SKU_CAMPAIGN	BC5007	Paused
NEW_SKU_CAMPAIGN	BC5007RD	Paused
NEW_SKU_CAMPAIGN	BC5590XY	Active
NEW_SKU_CAMPAIGN	BC559A	Active
NEW_SKU_CAMPAIGN	BC7500BK	Paused
NEW_SKU_CAMPAIGN	BC7500WT	Paused
NEW_SKU_CAMPAIGN	BC7500YL	Paused
NEW_SKU_CAMPAIGN	BC7801RD	Paused
NEW_SKU_CAMPAIGN	BC7801YL	Paused
NEW_SKU_CAMPAIGN	BC8400	Active
NEW_SKU_CAMPAIGN	BC8400BL	Paused
