Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
264153785524	TEE_MENS_SUIT_TIE_BLK_XXL	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,2XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIE_BLK_6	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,6] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIE_BLK_8	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,8] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIEBLK_10	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,10] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIE_BLK_12	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,12] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_MENS_SUIT_TIE_BLK_L	2	3		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,L] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_MENS_SUIT_TIE_BLK_XL	5	2		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_MENS_SUIT_TIE_BLK_M	3	2		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,M] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_MENS_SUIT_TIE_TEE_BLK_S	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,S] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIE_BLK_14	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,14] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153785524	TEE_WOMENS_SUIT_TIE_BLK_16	2	0		19.95	21-Jan-19		Brand New	9	Tuxedo Suit & Tie Smart Formal Tux Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,16] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_8	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,8] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_10	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,10] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_12	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,12] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_14	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,14] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_WOMENS_BEER_MUG_BLK_16	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Women's Tee,Black,16] Style Women's Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_TEE_BLK_S	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,S] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_BLK_M	3	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,M] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_BLK_L	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,L] Style Men's Basic Tee		0		15	19-Feb-19 21:54:17 AEST			1000	FALSE	StoresFixedPrice	
264153830138	TEE_MENS_BEER_MUG_BLK_XL	2	0		19.95	21-Jan-19		Brand New	9	Beer Mug Schooner Alcohol Aussie Funny Joke Tee T Shirt 100% Cotton Men Women[Men's Basic Tee,Black,XL] Style Men's Basic Tee		0		15	19-Feb-19 21:54:18 AEST			1000	FALSE	StoresFixedPrice	
