SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
AG0064	1	55.95	8.2	58	Days_5	Auction
AH0224	1	31.95	9.8	38	Days_5	Auction
AW3000	1	109.95	14.25	112	Days_5	Auction
AZ0004	1	62.95	8.8	65	Days_5	Auction
BB0078SM	1	29.95	9.5	36	Days_5	Auction
BB1830	1	53.95	11.35	59	Days_5	Auction
BB2030	1	58.95	9	62	Days_5	Auction
BB3030	1	64.95	10.2	68	Days_5	Auction
BB3090	1	18.95	9.25	26	Days_5	Auction
BB4400	1	20.95	8.8	27	Days_5	Auction
BC0207	1	31.95	10.8	39	Days_5	Auction
BC1200RD	1	40.95	8.98	45	Days_5	Auction
BC5590XY	1	26.95	16.45	40	Days_5	Auction
BC559A	1	26.95	10.8	34	Days_5	Auction
BC8996	1	41.95	16.95	54	Days_5	Auction
BCHAR1	1	50.95	10	55	Days_5	Auction
BD2674	1	78.95	9.95	81	Days_5	Auction
BD5914	1	78.95	9.95	81	Days_5	Auction
BD7196	1	48.95	9.95	54	Days_5	Auction
BD7196BL	1	48.95	9.95	54	Days_5	Auction
BD7196RD	1	48.95	9.95	54	Days_5	Auction
BD7644	1	59.95	9.95	63	Days_5	Auction
BD7644RG	1	59.95	9.95	63	Days_5	Auction
BD7644WK	1	59.95	9.95	63	Days_5	Auction
BD8933	1	53.95	9.95	58	Days_5	Auction
BD8933AR	1	53.95	9.95	58	Days_5	Auction
BD8933BE	1	53.95	9.95	58	Days_5	Auction
BG1196	1	43.95	8.95	48	Days_5	Auction
BG1819	1	25.95	8.95	32	Days_5	Auction
BG3731	1	29.95	8.95	36	Days_5	Auction
BG6268	1	25.95	9.98	33	Days_5	Auction
BG8050BL	1	30.95	8.95	36	Days_5	Auction
BG8050YL	1	30.95	8.85	36	Days_5	Auction
BK0034RDBK	1	36.95	9.3	42	Days_5	Auction
BK8X70	1	32.95	8.95	38	Days_5	Auction
BM6015	1	43.95	9.95	49	Days_5	Auction
BO0001	1	139.95	13.6	139	Days_5	Auction
BP0199	1	49.95	9.95	54	Days_5	Auction
BP0199RD	1	49.95	9.95	54	Days_5	Auction
BR1050	1	6.95	8.9	15	Days_5	Auction
BR1TRMWT	1	104.95	9	103	Days_5	Auction
BS0114	1	52.95	9.7	57	Days_5	Auction
BS0780	1	215.95	37.1	228	Days_5	Auction
BS2250BX	1	56.95	17.1	67	Days_5	Auction
BS5400WT	1	137.95	22	144	Days_5	Auction
BS6002	1	27.95	9.9	35	Days_5	Auction
BS9028X4	1	160.95	38.4	180	Days_5	Auction
BS9060X2	1	101.95	15.9	107	Days_5	Auction
BS9061X2	1	101.95	15.9	107	Days_5	Auction
BT0065	1	25.95	12.95	36	Days_5	Auction
BT5313	1	39.95	8.6	44	Days_5	Auction
BT8036X4CF	1	160.95	24.95	168	Days_5	Auction
BT8052X4	1	158.95	24.95	166	Days_5	Auction
BT8052X4BK	1	158.95	24.95	166	Days_5	Auction
BT8380X4	1	175.95	22	179	Days_5	Auction
BT8380X4WT	1	175.95	22	179	Days_5	Auction
BT8505X4	1	154.95	24.95	162	Days_5	Auction
BV0150	1	40.95	13	49	Days_5	Auction
BY7641	1	20.95	9.98	28	Days_5	Auction
BZ7791	1	35.95	9.98	42	Days_5	Auction
BZ7791BL	1	35.95	9.98	42	Days_5	Auction
BZ7791YL	1	35.95	9.98	42	Days_5	Auction
BZ7822	1	28.95	9.45	35	Days_5	Auction
BZ7925RD	1	32.95	34.95	62	Days_5	Auction
BZ7934	1	24.95	9.45	31	Days_5	Auction
BZ7935	1	51.95	12.95	59	Days_5	Auction
CA0058RD	1	30.95	9.98	37	Days_5	Auction
CB0178	1	61.95	10.4	66	Days_5	Auction
CB2000	1	48.95	8.2	52	Days_5	Auction
CB6009	1	27.95	9.7	34	Days_5	Auction
CB8010BL	1	29.95	8.95	36	Days_5	Auction
CC0200	1	75.95	13.9	81	Days_5	Auction
CC1710	1	43.95	8.9	48	Days_5	Auction
CC1810	1	32.95	8.9	38	Days_5	Auction
CF0004GR	1	52.95	12.7	60	Days_5	Auction
