TY1057MK	310891309471	10034	22656|
TY6898	310885875363	115749	3199|
UC0145RD	360871018155	177831	1039|
UC5200	310676738454	20715	164372|
UR5220	360632511570	117337	33933|
VB0068YL	360756333468	166195	16264|
VT5610	310845783734	43517	159898|
VT5687	310670004830	20773	43993|
VT5818WD	301124402673	38204	1280|
WA9007PK	310644317964	38638	38647|
WB3800BK	310845784298	28062	1521|
WC3200	310886803153	1521	15281|
WD6394	300887035511	103429	170419|
WD8542	360874129383	20690	170419|
WF8801	360632511429	28176	3193|
WF8804RD	310697485839	28176	3193|
WH2500YL	301117691514	33082	106437|
WH6000	301117689421	11774	92090|
WH8000SW	310891309635	11774	92090|
WM1025	360871017873	30506	34999|
WM1026	310885875728	30506	34999|
WP5050	360873381081	33082	106437|
WU1806	301112435928	1283	20745|
WU6005	301118932718	1283	20745|
WU6021	301112436093	100411	1284|
WU6069	300982485473	88468	42428|
XC0001	310865358525	151621	62116|
XJ0300	360657191522	1521	15281|
XT5844	301015695450	30103	36282|
XT5844BB	301118932557	30103	36282|
XV6370	360877804303	16224	33021|
XV6378	301096020245	159898	42612|
XV6432	310647844392	16264	166195|
XV6432BL	300887878724	16264	166195|
YG6009RD	300927293421	66744	139849|
YG6010BL	310887656312	115751	139849|
YS8031BKX4	360874130001	153928	67172|
YS8055BRX2	310698784437	54235	61677|
YW6642	310873028689	50456	42611|
YW6648BL	310892381966	166100	166098|
YW6801	360877805039	54235	61677|
YW6844	301118934108	54235	61677|
YW6908	300963283727	20628	170203|
ZT9057YL	360874733452	19023	1039|
ZX7217	310873028574	159898	42612
