AY7539	361102041557|
BC0290AB	311159037662|
BY7621	311159039241|
BY7632	361102041689|
BZ7870	361102042362|
CF0026GR	301378180143|
CF0026RD	361102040503|
CR1090WT	311159040311|
DA8329	311159037454|
DA8334	311159039051|
DB8564	301378183133|
DG2500GO	301378179728|
EC8853	361102043357|
EC8890	311159038544|
FC9023	311159039752|
FD9163	311159039937|
GE9569	361102040113|
GE9678	301378181409|
GL4058	301378180193|
GL4215	311159037609|
HF9852	311159038427|
HF9955	311159040001|
HJ1053	311159038994|
HJ2174	301378179766|
HJ2174BK	301378177671|
HJ4459	311159036715|
HJ8312	301378180072|
HP6700OR	311159036611|
IG1202	311159036524|
JH1560	361102043701|
JH1591	361102042536|
JH1624	301378181469|
JH1635	301378182170|
JH2084	361102043400|
KI1850	361102042088|
KI1850RD	311159038487|
LJ1156	311159038290|
LJ1469	361102040325|
LJ2183	311159037063|
LJ2198	301378179217|
LJ2198BK	311159036493|
LJ2198BR	311159036655|
LJ2198PK	361102039645|
LJ2339	311159040427|
LJ2715	361102039999|
LJ5648	311159041714|
LJ8177	311159038111|
LJ8949	311159038141|
LJ9288	361102041273|
MJ2432	361102042575|
MR2622	301378180539|
NK2821	301378180638|
NL2843	301378182386|
NL2843BL	311159040472|
NL3088PK	311159036438|
NL3109	301378177978|
NL3109BL	311159037410|
PN3529	301378181647|
PN3722BL	361102041360|
PP8699	311159039467|
PP8699BR	361102041121|
QN3838	361102043318|
RG0220AU	361102040551|
SD0205XK	311159038895|
SJ1917	311159041231|
SJ3063	311159038955|
SJ3688	301378181221|
SQ4565	361102043000|
TR4964	301378177629|
TY1057HD	301378179415|
UM1979	361102042757|
UM1979BK	311159036682|
UM1979RD	311159040247|
VT5669	301378180265|
VT5749	311159040186|
VT5878	301378178970|
WU6158	301378180871|
XJ0701	361102042953|
XV6394	361102040063|
XV6515	361102043782|
YG5024YB	301378179484|
YV6611	301378182455|
YW6666	301378180108|
YW6746	361102043545|
YW6797	311159038589|
ZW6943	311159040826|
ZX7012	361102043223|
ZX7037	361102037840|
ZX7038	301378182764|
ZX7260	361102043580|
ZX7265	361102043658|
ZX7269	311159039786
